Srno,Company_Name,Bid_Opening_Date,Bid_Closing_Date,Face_Value,Bid_Price_From,Bid_Price_To,Market_Lot,Listing_at,Issue_size,Fresh_issue,Offer_for_sale,Basis_of_Allotment_Date,Initiation_of_refunds,Credit_of_shares_to_demat_account,Listing_date,Listing_day,Listing_year,BSE_script_code,NSE_symbol,Listing_in,ISIN,Qualified_Institutional_Buyers,Non_Institutional_Investors,Retail_Individual_Investors,Total_Subscription,Registrar_Name,Pre_Issue_Share_Holding,Post_Issue_Share_Holding,NSE_Listing_day_open,NSE_Listing_day_low,NSE_Listing_day_high,NSE_Listing_day_last_trade,NSE_Listing_day_volume,NSE_SME_Listing_day_open,NSE_SME_Listing_day_low,NSE_SME_Listing_day_high,NSE_SME_Listing_day_last_trade,NSE_SME_Listing_day_volume,BSE_Listing_day_open,BSE_Listing_day_low,BSE_Listing_day_high,BSE_Listing_day_last_trade,BSE_Listing_day_volume,BSE_SME_Listing_day_open,BSE_SME_Listing_day_low,BSE_SME_Listing_day_high,BSE_SME_Listing_day_last_trade,BSE_SME_Listing_day_volume
1,Voltamp Transformers Limited ,"Aug 24, 2006","Aug 29, 2006",10,295,345,NaN,"BSE, NSE","4,883,840 Eq Shares of ₹10 (aggregating up to ₹168.49 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, September 20, 2006",Wednesday,2006,532757,VOLTAMP,NaN,INE540H01012,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,370,370,430.7,416.45,9531676,NaN,NaN,NaN,NaN,NaN,399,375,430.9,417.05,8445000,NaN,NaN,NaN,NaN,NaN
2,Deep Industries Ltd ,"Aug 29, 2006","Sep 4, 2006",10,36,36,175,BSE,"11,300,000 Eq Shares of ₹10 (aggregating up to ₹40.68 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, September 25, 2006",Monday,2006,532760,DEEPIND,NaN,INE677H01012,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49,27,49,27.9,9704917,NaN,NaN,NaN,NaN,NaN
3,KEW Industries Limted ,"Aug 28, 2006","Sep 1, 2006",10,30,30,170,NSE,"7,000,000 Eq Shares of ₹10 (aggregating up to ₹21.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, September 25, 2006",Monday,2006,532758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,KFintech Private Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.5,23.1,36,23.6,6977994,NaN,NaN,NaN,NaN,NaN
4,Action Construction Equipment Ltd ,"Sep 1, 2006","Sep 7, 2006",10,110,130,20,"BSE, NSE","4,600,000 Eq Shares of ₹10 (aggregating up to ₹59.80 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, September 26, 2006",Tuesday,2006,532762,ACE,NaN,INE731H01025,NaN,NaN,NaN,NaN,KFintech Private Limited,NaN,NaN,180,180,210.9,193.65,7582512,NaN,NaN,NaN,NaN,NaN,200,185.45,210.85,193.45,5792222,NaN,NaN,NaN,NaN,NaN
5,Atlanta Limited ,"Sep 1, 2006","Sep 7, 2006",10,130,150,45,"BSE, NSE","4,300,000 Eq Shares of ₹10 (aggregating up to ₹64.50 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, September 25, 2006",Monday,2006,532759,ATLANTA,B,INE285H01022,NaN,NaN,NaN,NaN,KFintech Private Limited,NaN,NaN,175.55,175.55,208.65,192.3,12867315,NaN,NaN,NaN,NaN,NaN,170,170,209.5,192.3,11203665,NaN,NaN,NaN,NaN,NaN
6,HOV Services Limited ,"Sep 4, 2006","Sep 7, 2006",10,200,240,25,"BSE, NSE","4,050,000 Eq Shares of ₹10 (aggregating up to ₹81.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, September 27, 2006",Wednesday,2006,532761,HOVS,NaN,INE596H01014,NaN,NaN,NaN,NaN,KFintech Private Limited,NaN,NaN,204,177.25,234,180.3,2853848,NaN,NaN,NaN,NaN,NaN,200,177.1,208.8,179.75,2479023,NaN,NaN,NaN,NaN,NaN
7,Usher Agro Ltd ,"Sep 5, 2006","Sep 11, 2006",10,15,15,400,BSE,"12,012,000 Eq Shares of ₹10 (aggregating up to ₹18.02 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, October 6, 2006",Friday,2006,532765,USHERAGRO,NaN,INE235G01011,NaN,NaN,NaN,NaN,Adroit Corporate Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.35,14.9,19.35,16.2,9385025,NaN,NaN,NaN,NaN,NaN
8,Gwalior Chemical Industries Ltd ,"Sep 11, 2006","Sep 14, 2006",10,71,85,75,"BSE, NSE",[.] Eq Shares of ₹10 (aggregating up to ₹80.00 Cr),NaN,NaN,NaN,NaN,NaN,"Wednesday, October 4, 2006",Wednesday,2006,532764,GEECEE,NaN,INE916G01016,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,83.5,83.5,95.4,93.85,17056537,NaN,NaN,NaN,NaN,NaN,90,85,95.25,93.8,17009203,NaN,NaN,NaN,NaN,NaN
9,Richa Knits Limited ,"Sep 13, 2006","Sep 19, 2006",10,30,30,NaN,BSE,"7,500,000 Eq Shares of ₹10 (aggregating up to ₹22.50 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, October 12, 2006",Thursday,2006,532766,NaN,NaN,INE516H01012,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.95,30,40,30.25,19423283,NaN,NaN,NaN,NaN,NaN
10,Fiem Industries Limited ,"Sep 21, 2006","Sep 27, 2006",10,125,145,NaN,"BSE, NSE","4,100,000 Eq Shares of ₹10 (aggregating up to ₹56.17 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, October 19, 2006",Thursday,2006,532768,FIEMIND,NaN,INE737H01014,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,169.25,119.55,169.25,121.55,2558307,NaN,NaN,NaN,NaN,NaN,145,119.65,148,121.75,2930156,NaN,NaN,NaN,NaN,NaN
11,Gayatri Projects Limited ,"Sep 26, 2006","Sep 29, 2006",10,275,295,20,BSE,"2,900,000 Eq Shares of ₹10 (aggregating up to ₹85.55 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, October 17, 2006",Tuesday,2006,532767,GAYAPROJ,NaN,INE336H01015,NaN,NaN,NaN,NaN,KFintech Private Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,333,293.4,348,298.85,4680271,NaN,NaN,NaN,NaN,NaN
12,JHS Svendgaard Laboratories Ltd ,"Sep 26, 2006","Oct 4, 2006",10,49,58,NaN,"BSE, NSE","6,200,000 Eq Shares of ₹10 (aggregating up to ₹35.96 Cr)",NaN,NaN,NaN,NaN,NaN,"Saturday, October 21, 2006",Saturday,2006,532771,JHS,NaN,INE544H01014,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,95,55,95,56.95,678056,NaN,NaN,NaN,NaN,NaN,60.25,56,62,57.05,877664,NaN,NaN,NaN,NaN,NaN
13,Hanung Toys And Textiles Ltd ,"Sep 28, 2006","Oct 5, 2006",10,85,95,60,"BSE, NSE","9,500,000 Eq Shares of ₹10 (aggregating up to ₹90.25 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, October 20, 2006",Friday,2006,532770,HANUNG,NaN,INE648H01013,NaN,NaN,NaN,NaN,KFintech Private Limited,NaN,NaN,100.55,89.7,109.7,96.7,10885952,NaN,NaN,NaN,NaN,NaN,122,89.55,122,96.45,12039884,NaN,NaN,NaN,NaN,NaN
14,Accel Frontline Limited ,"Sep 28, 2006","Oct 5, 2006",10,75,90,70,"BSE, NSE","5,635,950 Eq Shares of ₹10 (aggregating up to ₹42.27 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, October 30, 2006",Monday,2006,532774,AFL,NaN,INE020G01017,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,77,69.3,80,70.5,2534268,NaN,NaN,NaN,NaN,NaN,77.9,70,77.9,70.7,2664840,NaN,NaN,NaN,NaN,NaN
15,Global Vectra Helicorp Ltd ,"Sep 29, 2006","Oct 6, 2006",10,175,200,30,"BSE, NSE","3,500,000 Eq Shares of ₹10 (aggregating up to ₹64.75 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, October 27, 2006",Friday,2006,532773,GLOBALVECT,NaN,INE792H01019,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,250,170.05,250,187.5,2872269,NaN,NaN,NaN,NaN,NaN,175,175,195,187.4,2702638,NaN,NaN,NaN,NaN,NaN
16,Development Credit Bank Ltd ,"Sep 29, 2006","Oct 6, 2006",10,22,26,250,"BSE, NSE","71,500,000 Eq Shares of ₹10 (aggregating up to ₹185.90 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, October 27, 2006",Friday,2006,532772,DCBBANK,NaN,INE503A01015,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,35,35,48.7,47.45,81863292,NaN,NaN,NaN,NaN,NaN,35.35,35.35,48.65,47.5,57675900,NaN,NaN,NaN,NaN,NaN
17,Zenith Birla (India) Limited FPO (Zenith Birla FPO) Detail,"Oct 16, 2006","Oct 20, 2006",10,55,55,NaN,BSE,"23,818,182 Eq Shares of ₹10 (aggregating up to ₹131.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, November 20, 2006",Monday,2006,531845,ZENITHBIR,T,INE318D01020,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,44,53.45,48.2,1643936,NaN,NaN,NaN,NaN,NaN
18,Info Edge India Ltd (Naukri.com) ,"Oct 30, 2006","Nov 2, 2006",10,290,320,20,"BSE, NSE","5,323,851 Eq Shares of ₹10 (aggregating up to ₹170.36 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, November 21, 2006",Tuesday,2006,532777,NAUKRI,NaN,INE663F01024,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,451.05,451.05,623.8,592.55,11598927,NaN,NaN,NaN,NaN,NaN,480,480,623.8,593.2,7801094,NaN,NaN,NaN,NaN,NaN
19,Parsvnath Developers Limited ,"Nov 6, 2006","Nov 10, 2006",10,250,300,NaN,"BSE, NSE","33,238,000 Eq Shares of ₹10 (aggregating up to ₹997.14 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, November 30, 2006",Thursday,2006,532780,PARSVNATH,B,INE561H01026,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,456.7,456.7,575.65,526.4,47828017,NaN,NaN,NaN,NaN,NaN,540,481.5,579,526.3,16015041,NaN,NaN,NaN,NaN,NaN
20,Lanco Infratech Limited ,"Nov 6, 2006","Nov 10, 2006",10,200,240,NaN,"BSE, NSE","44,472,381 Eq Shares of ₹10 (aggregating up to ₹1,067.34 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, November 27, 2006",Monday,2006,532778,LITL,A,INE785C01048,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,270,240,290,241.4,19342596,NaN,NaN,NaN,NaN,NaN,270,239.55,275,241.4,10314612,NaN,NaN,NaN,NaN,NaN
21,Sobha Developers Ltd ,"Nov 23, 2006","Nov 29, 2006",10,550,640,NaN,"BSE, NSE","8,893,332 Eq Shares of ₹10 (aggregating up to ₹569.17 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, December 20, 2006",Wednesday,2006,532784,SOBHA,NaN,INE671H01015,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,"1,120.00",918.05,"1,248.00",926.65,13380843,NaN,NaN,NaN,NaN,NaN,"1,111.25",918.1,"1,179.00",968.75,7338345,NaN,NaN,NaN,NaN,NaN
22,Blue Bird Limited ,"Nov 16, 2006","Nov 22, 2006",10,90,105,60,"BSE, NSE","8,775,000 Eq Shares of ₹10 (aggregating up to ₹92.14 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, December 11, 2006",Monday,2006,532781,BLUEBIRD,B1,NaN,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,128,91,128,94.65,4854588,NaN,NaN,NaN,NaN,NaN,109,92.1,109,94.85,5305891,NaN,NaN,NaN,NaN,NaN
23,Gulshan Sugars & Chemicals Ltd FPO (Gulshan Sugars FPO) Detail,"Nov 22, 2006","Nov 28, 2006",8,40,40,NaN,BSE,"6,600,000 Eq Shares of ₹8 (aggregating up to ₹26.40 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, December 28, 2006",Thursday,2006,524184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,37,37,37,86823,NaN,NaN,NaN,NaN,NaN
24,Ruchira Papers Limited ,"Nov 23, 2006","Nov 29, 2006",10,21,23,NaN,"BSE, NSE","10,217,000 Eq Shares of ₹10 (aggregating up to ₹23.50 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, December 20, 2006",Wednesday,2006,532785,RUCHIRA,B1,INE803H01014,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,24,20.7,24.5,21.05,3901755,NaN,NaN,NaN,NaN,NaN,24.35,20.65,24.35,20.95,4117994,NaN,NaN,NaN,NaN,NaN
25,L.T. Overseas Limited ,"Nov 27, 2006","Nov 30, 2006",10,50,56,125,"BSE, NSE","7,036,714 Eq Shares of ₹10 (aggregating up to ₹39.40 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, December 18, 2006",Monday,2006,532783,DAAWAT,NaN,INE818H01012,NaN,NaN,NaN,NaN,Bigshare Services Pvt Ltd,NaN,NaN,60,51.25,61.95,53.2,5173941,NaN,NaN,NaN,NaN,NaN,60,51,62.9,55,5413788,NaN,NaN,NaN,NaN,NaN
26,KLRF Limited FPO (KLRF ,"Nov 27, 2006","Dec 1, 2006",10,55,55,NaN,BSE,"2,600,000 Eq Shares of ₹10 (aggregating up to ₹14.30 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, December 26, 2006",Tuesday,2006,507598,KLRF,NaN,INE014E01015,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.5,50.3,55.5,52.8,31056,NaN,NaN,NaN,NaN,NaN
